Address,Place,City,State,Phone,Zip,CountryCode,Country,Location
"['Street:  No. 41 A Psn Tokong', 'City:  Ipoh', 'State/province/area:    Perak', 'Phone number  605-2532112', 'Zip code  31650', 'Country calling code  +60', 'Country  Malaysia']",No. 41 A Psn Tokong,City:  Ipoh,Perak,605-2532112,31650,+60,Malaysia,"No. 41 A Psn Tokong, City:  Ipoh, Perak"
"['Street:  Site Office Lot 2847 Jln Segambut Kampung Pasir', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  036253-2044', 'Zip code  51200', 'Country calling code  +60', 'Country  Malaysia']",Site Office Lot 2847 Jln Segambut Kampung Pasir,Kuala Lumpur,Wilayah Persekutuan,036253-2044,51200,+60,Malaysia,"Site Office Lot 2847 Jln Segambut Kampung Pasir, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  No. 356A Jalan 2C Kampong Baru Subang', 'City:   Shah Alam', 'State/province/area:    Selangor', 'Phone number  60378475583', 'Zip code  40150', 'Country calling code  +60', 'Country  Malaysia']",No. 356A Jalan 2C Kampong Baru Subang,Shah Alam,Selangor,60378475583,40150,+60,Malaysia,"No. 356A Jalan 2C Kampong Baru Subang, Shah Alam, Selangor"
"['Street:  6 Lorong Datuk Sulaiman 1', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  037728-9177', 'Zip code  60000', 'Country calling code  +60', 'Country  Malaysia']",6 Lorong Datuk Sulaiman 1,Kuala Lumpur,Wilayah Persekutuan,037728-9177,60000,+60,Malaysia,"6 Lorong Datuk Sulaiman 1, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  5 Plaza Prima Jln Lama Batu 4 1/2 Wilayah Persekutuan', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  037982-2852', 'Zip code  58200', 'Country calling code  +60', 'Country  Malaysia']",5 Plaza Prima Jln Lama Batu 4 1/2 Wilayah Persekutuan,Klang,Selangor,037982-2852,58200,+60,Malaysia,"5 Plaza Prima Jln Lama Batu 4 1/2 Wilayah Persekutuan, Klang, Selangor"
"['Street:  71 Jalan Maarof Bangsar', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032283-3729', 'Zip code  59000', 'Country calling code  +60', 'Country  Malaysia']",71 Jalan Maarof Bangsar,Kuala Lumpur,Wilayah Persekutuan,032283-3729,59000,+60,Malaysia,"71 Jalan Maarof Bangsar, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  No. 4743 Jln Telaga Air Butterworth', 'City:   Butterworth', 'State/province/area:    Pulau Pinang', 'Phone number  6043315050', 'Zip code  12200', 'Country calling code  +60', 'Country  Malaysia']",No. 4743 Jln Telaga Air Butterworth,Butterworth,Pulau Pinang,6043315050,12200,+60,Malaysia,"No. 4743 Jln Telaga Air Butterworth, Butterworth, Pulau Pinang"
"['Street:  58 Jln Sultan Yussof', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05242-7338', 'Zip code  30000', 'Country calling code  +60', 'Country  Malaysia']",58 Jln Sultan Yussof,Ipoh,Perak,05242-7338,30000,+60,Malaysia,"58 Jln Sultan Yussof, Ipoh, Perak"
"['Street:  20 Jalan Punggok Larkin Jaya', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  (607) 5211080', 'Zip code  80350', 'Country calling code  +60', 'Country  Malaysia']",20 Jalan Punggok Larkin Jaya,Johor Bahru,Johor,(607) 5211080,80350,+60,Malaysia,"20 Jalan Punggok Larkin Jaya, Johor Bahru, Johor"
"['Street:  No. 1037 Jln Chempaka Kampung Sungai Kayu Ara', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  037726-4750', 'Zip code  47400', 'Country calling code  +60', 'Country  Malaysia']",No. 1037 Jln Chempaka Kampung Sungai Kayu Ara,Petaling Jaya,Selangor,037726-4750,47400,+60,Malaysia,"No. 1037 Jln Chempaka Kampung Sungai Kayu Ara, Petaling Jaya, Selangor"
