Address,Place,City,State,Phone,Zip,CountryCode,Country,Location
"['Street:  Jalan Pju 1A/20g, Dataran Ara Damansara,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 7845-2897', 'Zip code  47301', 'Country calling code  +60', 'Country  Malaysia']","Jalan Pju 1A/20g, Dataran Ara Damansara,",Petaling Jaya,Selangor,+60 (0)3 7845-2897,47301,+60,Malaysia,"Jalan Pju 1A/20g, Dataran Ara Damansara,, Petaling Jaya, Selangor"
"['Street:  Renaissance Hotel, Jalan Sultan Ismail,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-2166-6374', 'Zip code  50450', 'Country calling code  +60', 'Country  Malaysia']","Renaissance Hotel, Jalan Sultan Ismail,",Kuala Lumpur,Wilayah Persekutuan,03-2166-6374,50450,+60,Malaysia,"Renaissance Hotel, Jalan Sultan Ismail,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  19, Jalan Semangat,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  03-7951-7482', 'Zip code  46200', 'Country calling code  +60', 'Country  Malaysia']","19, Jalan Semangat,",Petaling Jaya,Selangor,03-7951-7482,46200,+60,Malaysia,"19, Jalan Semangat,, Petaling Jaya, Selangor"
"['Street:  272 Jln Cheras Batu 3', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  039285-2856', 'Zip code  56100', 'Country calling code  +60', 'Country  Malaysia']",272 Jln Cheras Batu 3,Kuala Lumpur,Wilayah Persekutuan,039285-2856,56100,+60,Malaysia,"272 Jln Cheras Batu 3, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  2 Blok C Jln 21/13 Seksyen 21 Petaling Jaya', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  037877-0124', 'Zip code  46300', 'Country calling code  +60', 'Country  Malaysia']",2 Blok C Jln 21/13 Seksyen 21 Petaling Jaya,Petaling Jaya,Selangor,037877-0124,46300,+60,Malaysia,"2 Blok C Jln 21/13 Seksyen 21 Petaling Jaya, Petaling Jaya, Selangor"
"['Street:  Bandar Kinrara Off 6 1/2 miles, Jalan Puchong,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-8075-8150', 'Zip code  58200', 'Country calling code  +60', 'Country  Malaysia']","Bandar Kinrara Off 6 1/2 miles, Jalan Puchong,",Kuala Lumpur,Wilayah Persekutuan,03-8075-8150,58200,+60,Malaysia,"Bandar Kinrara Off 6 1/2 miles, Jalan Puchong,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Jln Reko Batu 16 1/4', 'City:   Kajang', 'State/province/area:    Selangor', 'Phone number  038733-9386', 'Zip code  43000', 'Country calling code  +60', 'Country  Malaysia']",Jln Reko Batu 16 1/4,Kajang,Selangor,038733-9386,43000,+60,Malaysia,"Jln Reko Batu 16 1/4, Kajang, Selangor"
"['Street:  8 Syed Kechik Jln Kapas Bukit Bandaraya', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032282-5739', 'Zip code  59100', 'Country calling code  +60', 'Country  Malaysia']",8 Syed Kechik Jln Kapas Bukit Bandaraya,Kuala Lumpur,Wilayah Persekutuan,032282-5739,59100,+60,Malaysia,"8 Syed Kechik Jln Kapas Bukit Bandaraya, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  No. 28', 'City:  Jalan Mahsuri', 'State/province/area:    Pusat Mas', 'Phone number  04-966-0854', 'Zip code  07000', 'Country calling code  +60', 'Country  Malaysia']",No. 28,City:  Jalan Mahsuri,Pusat Mas,04-966-0854,07000,+60,Malaysia,"No. 28, City:  Jalan Mahsuri, Pusat Mas"
"['Street:  10 Jln Empat Kaw Indust Bdr Sultan Suleiman Pelabuhan Pelabuhan', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  033176-3451', 'Zip code  42000', 'Country calling code  +60', 'Country  Malaysia']",10 Jln Empat Kaw Indust Bdr Sultan Suleiman Pelabuhan Pelabuhan,Klang,Selangor,033176-3451,42000,+60,Malaysia,"10 Jln Empat Kaw Indust Bdr Sultan Suleiman Pelabuhan Pelabuhan, Klang, Selangor"
"['Street:  Wisma Ali Bawal 2, 11 Jalan Tandang,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 7782-6711', 'Zip code  46050', 'Country calling code  +60', 'Country  Malaysia']","Wisma Ali Bawal 2, 11 Jalan Tandang,",Petaling Jaya,Selangor,+60 (0)3 7782-6711,46050,+60,Malaysia,"Wisma Ali Bawal 2, 11 Jalan Tandang,, Petaling Jaya, Selangor"
"['Street:  Kawasan Perindustrian Mas Jaya, Cheras,', 'City:   Kuala Lumpur', 'State/province/area:    Selangor', 'Phone number  +60390823722', 'Zip code  43200', 'Country calling code  +60', 'Country  Malaysia']","Kawasan Perindustrian Mas Jaya, Cheras,",Kuala Lumpur,Selangor,+60390823722,43200,+60,Malaysia,"Kawasan Perindustrian Mas Jaya, Cheras,, Kuala Lumpur, Selangor"
"['Street:  2 Fortuneland Business Centre 2476 Jln Rock Kuching Malaysi', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  02224-4622', 'Zip code  93200', 'Country calling code  +60', 'Country  Malaysia']",2 Fortuneland Business Centre 2476 Jln Rock Kuching Malaysi,Kuching,Sarawak,02224-4622,93200,+60,Malaysia,"2 Fortuneland Business Centre 2476 Jln Rock Kuching Malaysi, Kuching, Sarawak"
"['Street:  10 B Jalan NanasSarawak', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  08225-3240', 'Zip code  93400', 'Country calling code  +60', 'Country  Malaysia']",10 B Jalan NanasSarawak,Kuching,Sarawak,08225-3240,93400,+60,Malaysia,"10 B Jalan NanasSarawak, Kuching, Sarawak"
"['Street:  12-02 Jalan Tun Abdul Razak (Susur1/1)', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  (607) 2269121', 'Zip code  80100', 'Country calling code  +60', 'Country  Malaysia']",12-02 Jalan Tun Abdul Razak (Susur1/1),Johor Bahru,Johor,(607) 2269121,80100,+60,Malaysia,"12-02 Jalan Tun Abdul Razak (Susur1/1), Johor Bahru, Johor"
"['Street:  No. 9', 'City:  Jalan Raja Sulong', 'State/province/area:    Taman Marisa', 'Phone number  05-807-3626', 'Zip code  34610', 'Country calling code  +60', 'Country  Malaysia']",No. 9,City:  Jalan Raja Sulong,Taman Marisa,05-807-3626,34610,+60,Malaysia,"No. 9, City:  Jalan Raja Sulong, Taman Marisa"
"['Street:  13A Jalan Nirwana 35, Taman Nirwana,', 'City:   Ampang', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 8943-1046', 'Zip code  68000', 'Country calling code  +60', 'Country  Malaysia']","13A Jalan Nirwana 35, Taman Nirwana,",Ampang,Selangor,+60 (0)3 8943-1046,68000,+60,Malaysia,"13A Jalan Nirwana 35, Taman Nirwana,, Ampang, Selangor"
"['Street:  557/44 Taman Yoon Fook', 'City:   Seremban', 'State/province/area:    Negeri Sembilan', 'Phone number  06763-0172', 'Zip code  70450', 'Country calling code  +60', 'Country  Malaysia']",557/44 Taman Yoon Fook,Seremban,Negeri Sembilan,06763-0172,70450,+60,Malaysia,"557/44 Taman Yoon Fook, Seremban, Negeri Sembilan"
"['Street:  Ag No. 3 Plaza Pekeliling Ground Floor No. 2 Jalan Tun Razak 5040', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  034041-0327', 'Zip code  50400', 'Country calling code  +60', 'Country  Malaysia']",Ag No. 3 Plaza Pekeliling Ground Floor No. 2 Jalan Tun Razak 5040,Kuala Lumpur,Wilayah Persekutuan,034041-0327,50400,+60,Malaysia,"Ag No. 3 Plaza Pekeliling Ground Floor No. 2 Jalan Tun Razak 5040, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Jalan Petaling, Kuala Lumpur.,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-20701272', 'Zip code  50000', 'Country calling code  +60', 'Country  Malaysia']","Jalan Petaling, Kuala Lumpur.,",Kuala Lumpur,Wilayah Persekutuan,03-20701272,50000,+60,Malaysia,"Jalan Petaling, Kuala Lumpur.,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  No. 3347 1St Floor Jln 18/32 Taman Sri Serdang Seri Kembangan', 'City:   Seri Kembangan', 'State/province/area:    Selangor', 'Phone number  60389433591', 'Zip code  43300', 'Country calling code  +60', 'Country  Malaysia']",No. 3347 1St Floor Jln 18/32 Taman Sri Serdang Seri Kembangan,Seri Kembangan,Selangor,60389433591,43300,+60,Malaysia,"No. 3347 1St Floor Jln 18/32 Taman Sri Serdang Seri Kembangan, Seri Kembangan, Selangor"
"['Street:  4 Amoda Jln Imbi', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032144-4357', 'Zip code  55100', 'Country calling code  +60', 'Country  Malaysia']",4 Amoda Jln Imbi,Kuala Lumpur,Wilayah Persekutuan,032144-4357,55100,+60,Malaysia,"4 Amoda Jln Imbi, Kuala Lumpur, Wilayah Persekutuan"
