Address,Place,City,State,Phone,Zip,CountryCode,Country,Location
"['Street:  1C11, 1C1.117, Jewellery Centre', 'City:   Ground Floor', 'State/province/area:    KOMTAR', 'Phone number  04-261-2140', 'Zip code  10000', 'Country calling code  +60', 'Country  Malaysia']","1C11, 1C1.117, Jewellery Centre",Ground Floor,KOMTAR,04-261-2140,10000,+60,Malaysia,"1C11, 1C1.117, Jewellery Centre, Ground Floor, KOMTAR"
"['Street:  25-01-1 Lorong Batu Nilam 1C Bandar Bukit Tinggi', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  (603) 3941132', 'Zip code  41200', 'Country calling code  +60', 'Country  Malaysia']",25-01-1 Lorong Batu Nilam 1C Bandar Bukit Tinggi,Klang,Selangor,(603) 3941132,41200,+60,Malaysia,"25-01-1 Lorong Batu Nilam 1C Bandar Bukit Tinggi, Klang, Selangor"
"['Street:  4 Persiaran Cecil Rae Taman Canning', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  (605) 5489683', 'Zip code  31400', 'Country calling code  +60', 'Country  Malaysia']",4 Persiaran Cecil Rae Taman Canning,Ipoh,Perak,(605) 5489683,31400,+60,Malaysia,"4 Persiaran Cecil Rae Taman Canning, Ipoh, Perak"
"['Street:  No. 271 4Th Floor Jln 2 Off Jln Chan Sow Lin', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  6039221-3434', 'Zip code  55200', 'Country calling code  +60', 'Country  Malaysia']",No. 271 4Th Floor Jln 2 Off Jln Chan Sow Lin,Kuala Lumpur,Wilayah Persekutuan,6039221-3434,55200,+60,Malaysia,"No. 271 4Th Floor Jln 2 Off Jln Chan Sow Lin, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  52 Jln Tun Mohd Fuad 1 Taman Tun Dr Ismail', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  037710-1067', 'Zip code  60000', 'Country calling code  +60', 'Country  Malaysia']",52 Jln Tun Mohd Fuad 1 Taman Tun Dr Ismail,Kuala Lumpur,Wilayah Persekutuan,037710-1067,60000,+60,Malaysia,"52 Jln Tun Mohd Fuad 1 Taman Tun Dr Ismail, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Pusat Pentadbiran Kerajaan Pesekutuan, Putrajaya,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-8888-1912', 'Zip code  62502', 'Country calling code  +60', 'Country  Malaysia']","Pusat Pentadbiran Kerajaan Pesekutuan, Putrajaya,",Kuala Lumpur,Wilayah Persekutuan,03-8888-1912,62502,+60,Malaysia,"Pusat Pentadbiran Kerajaan Pesekutuan, Putrajaya,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  343 & 344, Jalan Pujut,', 'City:   Miri', 'State/province/area:    Sarawak', 'Phone number  6085412525', 'Zip code  98000', 'Country calling code  +60', 'Country  Malaysia']","343 & 344, Jalan Pujut,",Miri,Sarawak,6085412525,98000,+60,Malaysia,"343 & 344, Jalan Pujut,, Miri, Sarawak"
"['Street:  Kelana Jaya,.,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  0060162823173', 'Zip code  47301', 'Country calling code  +60', 'Country  Malaysia']","Kelana Jaya,.,",Petaling Jaya,Selangor,0060162823173,47301,+60,Malaysia,"Kelana Jaya,.,, Petaling Jaya, Selangor"
"['Street:  3rd Floor Asia Life Building 45 Jalan Tun Sambathan Darul Ridzuan', 'City:  Ipoh', 'State/province/area:    Perak', 'Phone number  (603) 2417756', 'Zip code  30000', 'Country calling code  +60', 'Country  Malaysia']",3rd Floor Asia Life Building 45 Jalan Tun Sambathan Darul Ridzuan,City:  Ipoh,Perak,(603) 2417756,30000,+60,Malaysia,"3rd Floor Asia Life Building 45 Jalan Tun Sambathan Darul Ridzuan, City:  Ipoh, Perak"
"['Street:  9902/628 Batu 4 Jalan Kampung Jawa', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  (603) 51618184', 'Zip code  41000', 'Country calling code  +60', 'Country  Malaysia']",9902/628 Batu 4 Jalan Kampung Jawa,Klang,Selangor,(603) 51618184,41000,+60,Malaysia,"9902/628 Batu 4 Jalan Kampung Jawa, Klang, Selangor"
"['Street:  Jln Pju 8/5G, Bandar Damansara Perdana,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  603 7729 1151', 'Zip code  47820', 'Country calling code  +60', 'Country  Malaysia']","Jln Pju 8/5G, Bandar Damansara Perdana,",Petaling Jaya,Selangor,603 7729 1151,47820,+60,Malaysia,"Jln Pju 8/5G, Bandar Damansara Perdana,, Petaling Jaya, Selangor"
"['Street:  Taman Setiawangsa, ., WP', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (03) 4251 2325', 'Zip code  54200', 'Country calling code  +60', 'Country  Malaysia']","Taman Setiawangsa, ., WP",Kuala Lumpur,Wilayah Persekutuan,(03) 4251 2325,54200,+60,Malaysia,"Taman Setiawangsa, ., WP, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Suite 11 1St Floor Wisma Ocm Jalan Hang Jebat', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032070-1953', 'Zip code  50150', 'Country calling code  +60', 'Country  Malaysia']",Suite 11 1St Floor Wisma Ocm Jalan Hang Jebat,Kuala Lumpur,Wilayah Persekutuan,032070-1953,50150,+60,Malaysia,"Suite 11 1St Floor Wisma Ocm Jalan Hang Jebat, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  889 Jln Semarak Kampung Semarak', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032698-0113', 'Zip code  54100', 'Country calling code  +60', 'Country  Malaysia']",889 Jln Semarak Kampung Semarak,Kuala Lumpur,Wilayah Persekutuan,032698-0113,54100,+60,Malaysia,"889 Jln Semarak Kampung Semarak, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  29-A Persiaran Medan Bercham 5 Pusat Bandar Baru Bercham', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  (605) 5362920', 'Zip code  31400', 'Country calling code  +60', 'Country  Malaysia']",29-A Persiaran Medan Bercham 5 Pusat Bandar Baru Bercham,Ipoh,Perak,(605) 5362920,31400,+60,Malaysia,"29-A Persiaran Medan Bercham 5 Pusat Bandar Baru Bercham, Ipoh, Perak"
"['Street:  1 11 Jln Durian Emas 3 Betaria Business Centre', 'City:   Seremban', 'State/province/area:    Negeri Sembilan', 'Phone number  06767-3865', 'Zip code  70400', 'Country calling code  +60', 'Country  Malaysia']",1 11 Jln Durian Emas 3 Betaria Business Centre,Seremban,Negeri Sembilan,06767-3865,70400,+60,Malaysia,"1 11 Jln Durian Emas 3 Betaria Business Centre, Seremban, Negeri Sembilan"
"['Street:  No 39 Jalan Brunai Barat', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 21485089', 'Zip code  55100', 'Country calling code  +60', 'Country  Malaysia']",No 39 Jalan Brunai Barat,Kuala Lumpur,Wilayah Persekutuan,(603) 21485089,55100,+60,Malaysia,"No 39 Jalan Brunai Barat, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Taman Padi Emas, Jalan Alor Mengkudu,', 'City:   Alor Setar', 'State/province/area:    Kedah', 'Phone number  +60 (0)5 241-2763', 'Zip code  05400', 'Country calling code  +60', 'Country  Malaysia']","Taman Padi Emas, Jalan Alor Mengkudu,",Alor Setar,Kedah,+60 (0)5 241-2763,05400,+60,Malaysia,"Taman Padi Emas, Jalan Alor Mengkudu,, Alor Setar, Kedah"
"['Street:  No. 4 Jalan 52/10', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  037957-3793', 'Zip code  46200', 'Country calling code  +60', 'Country  Malaysia']",No. 4 Jalan 52/10,Petaling Jaya,Selangor,037957-3793,46200,+60,Malaysia,"No. 4 Jalan 52/10, Petaling Jaya, Selangor"
"['Street:  6 JLN C TMN PERINDUSTRIAN TAMPOI JAYA', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07237-0969', 'Zip code  81200', 'Country calling code  +60', 'Country  Malaysia']",6 JLN C TMN PERINDUSTRIAN TAMPOI JAYA,Johor Bahru,Johor,07237-0969,81200,+60,Malaysia,"6 JLN C TMN PERINDUSTRIAN TAMPOI JAYA, Johor Bahru, Johor"
"['Street:  Chembong Industrial Estate', 'City:   Chembong', 'State/province/area:    Rembau Negeri Sembila', 'Phone number  06-685-1385', 'Zip code  71300', 'Country calling code  +60', 'Country  Malaysia']",Chembong Industrial Estate,Chembong,Rembau Negeri Sembila,06-685-1385,71300,+60,Malaysia,"Chembong Industrial Estate, Chembong, Rembau Negeri Sembila"
"['Street:  2 18 Jln Molek 1/10 Taman Molek', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07353-7941', 'Zip code  81100', 'Country calling code  +60', 'Country  Malaysia']",2 18 Jln Molek 1/10 Taman Molek,Johor Bahru,Johor,07353-7941,81100,+60,Malaysia,"2 18 Jln Molek 1/10 Taman Molek, Johor Bahru, Johor"
"['Street:  Kompleks JPA, Jalan Tun Ismail,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-2693-8244', 'Zip code  50510', 'Country calling code  +60', 'Country  Malaysia']","Kompleks JPA, Jalan Tun Ismail,",Kuala Lumpur,Wilayah Persekutuan,03-2693-8244,50510,+60,Malaysia,"Kompleks JPA, Jalan Tun Ismail,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Tingkat Perusahaan 6, Kawasan Perusahaan Perai,', 'City:   Perai', 'State/province/area:    Pulau Pinang', 'Phone number  +60 (0)3 6188-4714', 'Zip code  13600', 'Country calling code  +60', 'Country  Malaysia']","Tingkat Perusahaan 6, Kawasan Perusahaan Perai,",Perai,Pulau Pinang,+60 (0)3 6188-4714,13600,+60,Malaysia,"Tingkat Perusahaan 6, Kawasan Perusahaan Perai,, Perai, Pulau Pinang"
"['Street:  No. 84 Jln Temenggong Taman Taiping', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05241-9997', 'Zip code  31650', 'Country calling code  +60', 'Country  Malaysia']",No. 84 Jln Temenggong Taman Taiping,Ipoh,Perak,05241-9997,31650,+60,Malaysia,"No. 84 Jln Temenggong Taman Taiping, Ipoh, Perak"
"['Street:  Jalan Kusta, 13 1/2 Miles,', 'City:   Sungai Buloh', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 3290-7990', 'Zip code  47000', 'Country calling code  +60', 'Country  Malaysia']","Jalan Kusta, 13 1/2 Miles,",Sungai Buloh,Selangor,+60 (0)3 3290-7990,47000,+60,Malaysia,"Jalan Kusta, 13 1/2 Miles,, Sungai Buloh, Selangor"
"['Street:  Kompleks Pngktn Awam', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07223-5951', 'Zip code  80000', 'Country calling code  +60', 'Country  Malaysia']",Kompleks Pngktn Awam,Johor Bahru,Johor,07223-5951,80000,+60,Malaysia,"Kompleks Pngktn Awam, Johor Bahru, Johor"
"['Street:  D 4 Jln Desa Jaya Pusat Bandar Taman Desa', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  037981-1318', 'Zip code  58100', 'Country calling code  +60', 'Country  Malaysia']",D 4 Jln Desa Jaya Pusat Bandar Taman Desa,Kuala Lumpur,Wilayah Persekutuan,037981-1318,58100,+60,Malaysia,"D 4 Jln Desa Jaya Pusat Bandar Taman Desa, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Jalan Batu Unjur 7, Taman Bayu Perdana,', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  +60 (0)88 718614', 'Zip code  41200', 'Country calling code  +60', 'Country  Malaysia']","Jalan Batu Unjur 7, Taman Bayu Perdana,",Klang,Selangor,+60 (0)88 718614,41200,+60,Malaysia,"Jalan Batu Unjur 7, Taman Bayu Perdana,, Klang, Selangor"
"['Street:  4 Mui Plaza Jln P Ramlee', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032141-1762', 'Zip code  50250', 'Country calling code  +60', 'Country  Malaysia']",4 Mui Plaza Jln P Ramlee,Kuala Lumpur,Wilayah Persekutuan,032141-1762,50250,+60,Malaysia,"4 Mui Plaza Jln P Ramlee, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  No. 6 Jalan 14/22', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  60379552414', 'Zip code  46100', 'Country calling code  +60', 'Country  Malaysia']",No. 6 Jalan 14/22,Petaling Jaya,Selangor,60379552414,46100,+60,Malaysia,"No. 6 Jalan 14/22, Petaling Jaya, Selangor"
"['Street:  68 Jalan Ts 6/5 Taman Industri Subang', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  035631-3979', 'Zip code  47510', 'Country calling code  +60', 'Country  Malaysia']",68 Jalan Ts 6/5 Taman Industri Subang,Petaling Jaya,Selangor,035631-3979,47510,+60,Malaysia,"68 Jalan Ts 6/5 Taman Industri Subang, Petaling Jaya, Selangor"
"['Street:  Jalan Batai Laut, Kawasan 16,', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  03-3341-1943', 'Zip code  41300', 'Country calling code  +60', 'Country  Malaysia']","Jalan Batai Laut, Kawasan 16,",Klang,Selangor,03-3341-1943,41300,+60,Malaysia,"Jalan Batai Laut, Kawasan 16,, Klang, Selangor"
"['Street:  9-3 Jalan 5/18A Taman Mastiara Batu 5 Jalan Wilayah Persekutuan', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  (603) 3385358', 'Zip code  51200', 'Country calling code  +60', 'Country  Malaysia']",9-3 Jalan 5/18A Taman Mastiara Batu 5 Jalan Wilayah Persekutuan,Ipoh,Perak,(603) 3385358,51200,+60,Malaysia,"9-3 Jalan 5/18A Taman Mastiara Batu 5 Jalan Wilayah Persekutuan, Ipoh, Perak"
