Address,Place,City,State,Phone,Zip,CountryCode,Country,Location
"['Street:  No. 73 Lrg 2 Off Jalan Batu Kawa Taman PheonixSarawak', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  08242-4142', 'Zip code  93250', 'Country calling code  +60', 'Country  Malaysia']",No. 73 Lrg 2 Off Jalan Batu Kawa Taman PheonixSarawak,Kuching,Sarawak,08242-4142,93250,+60,Malaysia,"No. 73 Lrg 2 Off Jalan Batu Kawa Taman PheonixSarawak, Kuching, Sarawak"
"['Street:  124 Jalan Bendahara', 'City:   Miri', 'State/province/area:    Sarawak', 'Phone number  6085412178', 'Zip code  98000', 'Country calling code  +60', 'Country  Malaysia']",124 Jalan Bendahara,Miri,Sarawak,6085412178,98000,+60,Malaysia,"124 Jalan Bendahara, Miri, Sarawak"
"['Street:  17 Jalan Rosmerah 2/13 Taman Jaya', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  (607) 3575042', 'Zip code  81100', 'Country calling code  +60', 'Country  Malaysia']",17 Jalan Rosmerah 2/13 Taman Jaya,Johor Bahru,Johor,(607) 3575042,81100,+60,Malaysia,"17 Jalan Rosmerah 2/13 Taman Jaya, Johor Bahru, Johor"
"['Street:  Plaza Mont Kiara Blok E 2 Jln 1/70C', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  062203-2362', 'Zip code  50480', 'Country calling code  +60', 'Country  Malaysia']",Plaza Mont Kiara Blok E 2 Jln 1/70C,Kuala Lumpur,Wilayah Persekutuan,062203-2362,50480,+60,Malaysia,"Plaza Mont Kiara Blok E 2 Jln 1/70C, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  17 4 3Rd Floor Jln 14/22 Seksyen 14', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  037956-2380', 'Zip code  46100', 'Country calling code  +60', 'Country  Malaysia']",17 4 3Rd Floor Jln 14/22 Seksyen 14,Petaling Jaya,Selangor,037956-2380,46100,+60,Malaysia,"17 4 3Rd Floor Jln 14/22 Seksyen 14, Petaling Jaya, Selangor"
"['Street:  No. 9 Jalan Tp 7, Uep Industrial Park,', 'City:   Shah Alam', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 5192-1967', 'Zip code  40400', 'Country calling code  +60', 'Country  Malaysia']","No. 9 Jalan Tp 7, Uep Industrial Park,",Shah Alam,Selangor,+60 (0)3 5192-1967,40400,+60,Malaysia,"No. 9 Jalan Tp 7, Uep Industrial Park,, Shah Alam, Selangor"
"['Street:  A 116 Jln Serampang Taman Pelangi', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07333-3289', 'Zip code  80400', 'Country calling code  +60', 'Country  Malaysia']",A 116 Jln Serampang Taman Pelangi,Johor Bahru,Johor,07333-3289,80400,+60,Malaysia,"A 116 Jln Serampang Taman Pelangi, Johor Bahru, Johor"
"['Street:  1St Floor, Jalan Ss2/24,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  60378745653', 'Zip code  47300', 'Country calling code  +60', 'Country  Malaysia']","1St Floor, Jalan Ss2/24,",Petaling Jaya,Selangor,60378745653,47300,+60,Malaysia,"1St Floor, Jalan Ss2/24,, Petaling Jaya, Selangor"
"['Street:  1 39 Jln Tanah Putih Kuantan Kuantan', 'City:   Kuantan', 'State/province/area:    Pahang', 'Phone number  609-5130833', 'Zip code  25100', 'Country calling code  +60', 'Country  Malaysia']",1 39 Jln Tanah Putih Kuantan Kuantan,Kuantan,Pahang,609-5130833,25100,+60,Malaysia,"1 39 Jln Tanah Putih Kuantan Kuantan, Kuantan, Pahang"
"['Street:  12 2/F Jalan Telawi Tiga Bangsar Baru', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 22842817', 'Zip code  59000', 'Country calling code  +60', 'Country  Malaysia']",12 2/F Jalan Telawi Tiga Bangsar Baru,Kuala Lumpur,Wilayah Persekutuan,(603) 22842817,59000,+60,Malaysia,"12 2/F Jalan Telawi Tiga Bangsar Baru, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  20-G G/F Jalan B/P 1 Taman Bukit Pandan', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 42806982', 'Zip code  56100', 'Country calling code  +60', 'Country  Malaysia']",20-G G/F Jalan B/P 1 Taman Bukit Pandan,Kuala Lumpur,Wilayah Persekutuan,(603) 42806982,56100,+60,Malaysia,"20-G G/F Jalan B/P 1 Taman Bukit Pandan, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  1 Terminal 1 Shopping Plaza Jln Lintang M', 'City:   Seremban', 'State/province/area:    Negeri Sembilan', 'Phone number  06767-6356', 'Zip code  70000', 'Country calling code  +60', 'Country  Malaysia']",1 Terminal 1 Shopping Plaza Jln Lintang M,Seremban,Negeri Sembilan,06767-6356,70000,+60,Malaysia,"1 Terminal 1 Shopping Plaza Jln Lintang M, Seremban, Negeri Sembilan"
"['Street:  12Nd Floor Plaza Permata Jln Kampar', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  653-40426165', 'Zip code  50400', 'Country calling code  +60', 'Country  Malaysia']",12Nd Floor Plaza Permata Jln Kampar,Kuala Lumpur,Wilayah Persekutuan,653-40426165,50400,+60,Malaysia,"12Nd Floor Plaza Permata Jln Kampar, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Jalan 4/10B, Taman Industri Spring Crest,', 'City:   Batu Caves', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 6188-2477', 'Zip code  68100', 'Country calling code  +60', 'Country  Malaysia']","Jalan 4/10B, Taman Industri Spring Crest,",Batu Caves,Selangor,+60 (0)3 6188-2477,68100,+60,Malaysia,"Jalan 4/10B, Taman Industri Spring Crest,, Batu Caves, Selangor"
"['Street:  705 Jln Kuala Kangsar Taman Tasek Jaya', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05548-2562', 'Zip code  31400', 'Country calling code  +60', 'Country  Malaysia']",705 Jln Kuala Kangsar Taman Tasek Jaya,Ipoh,Perak,05548-2562,31400,+60,Malaysia,"705 Jln Kuala Kangsar Taman Tasek Jaya, Ipoh, Perak"
"['Street:  Medan Jaya Commercial Centre, Jalan Tun Hussein Onn,', 'City:   Bintulu', 'State/province/area:    Sarawak', 'Phone number  +60 (0)86 334644', 'Zip code  97000', 'Country calling code  +60', 'Country  Malaysia']","Medan Jaya Commercial Centre, Jalan Tun Hussein Onn,",Bintulu,Sarawak,+60 (0)86 334644,97000,+60,Malaysia,"Medan Jaya Commercial Centre, Jalan Tun Hussein Onn,, Bintulu, Sarawak"
