Address,Place,City,State,Phone,Zip,CountryCode,Country,Location
"['Street:  9431 Jln Young Kampung Baru Pendamaran Pelabuhan Pelabuhan', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  035568-9455', 'Zip code  42000', 'Country calling code  +60', 'Country  Malaysia']",9431 Jln Young Kampung Baru Pendamaran Pelabuhan Pelabuhan,Klang,Selangor,035568-9455,42000,+60,Malaysia,"9431 Jln Young Kampung Baru Pendamaran Pelabuhan Pelabuhan, Klang, Selangor"
"['Street:  No. 43Jalan Bk 5/11, Bandar Kinrara,', 'City:   Puchong', 'State/province/area:    Selangor', 'Phone number  +60 (0)4 282-2736', 'Zip code  47100', 'Country calling code  +60', 'Country  Malaysia']","No. 43Jalan Bk 5/11, Bandar Kinrara,",Puchong,Selangor,+60 (0)4 282-2736,47100,+60,Malaysia,"No. 43Jalan Bk 5/11, Bandar Kinrara,, Puchong, Selangor"
"['Street:  Kaws. Perindustrian Ringan, Kampung Baru Ampang Tambahan,', 'City:   Ampang', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 4940-6794', 'Zip code  68000', 'Country calling code  +60', 'Country  Malaysia']","Kaws. Perindustrian Ringan, Kampung Baru Ampang Tambahan,",Ampang,Selangor,+60 (0)3 4940-6794,68000,+60,Malaysia,"Kaws. Perindustrian Ringan, Kampung Baru Ampang Tambahan,, Ampang, Selangor"
"['Street:  No. 241 1St Floor Bgn Hock Choon Jln Ampang', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032142-8690', 'Zip code  50450', 'Country calling code  +60', 'Country  Malaysia']",No. 241 1St Floor Bgn Hock Choon Jln Ampang,Kuala Lumpur,Wilayah Persekutuan,032142-8690,50450,+60,Malaysia,"No. 241 1St Floor Bgn Hock Choon Jln Ampang, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  52 Jln Tun Mohd Fuad 1 Taman Tun Dr Ismail', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  037710-1044', 'Zip code  60000', 'Country calling code  +60', 'Country  Malaysia']",52 Jln Tun Mohd Fuad 1 Taman Tun Dr Ismail,Kuala Lumpur,Wilayah Persekutuan,037710-1044,60000,+60,Malaysia,"52 Jln Tun Mohd Fuad 1 Taman Tun Dr Ismail, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  303 G LRG 7D OFF JALAN ANG CHENG HO Kuching', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  08242-5411', 'Zip code  93100', 'Country calling code  +60', 'Country  Malaysia']",303 G LRG 7D OFF JALAN ANG CHENG HO Kuching,Kuching,Sarawak,08242-5411,93100,+60,Malaysia,"303 G LRG 7D OFF JALAN ANG CHENG HO Kuching, Kuching, Sarawak"
"['Street:  6 Lun Tasek Perdana 1 Medan Tasek Perdana', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  (605) 5450320', 'Zip code  30010', 'Country calling code  +60', 'Country  Malaysia']",6 Lun Tasek Perdana 1 Medan Tasek Perdana,Ipoh,Perak,(605) 5450320,30010,+60,Malaysia,"6 Lun Tasek Perdana 1 Medan Tasek Perdana, Ipoh, Perak"
"['Street:  G Bangunan Sri Kinta Jln Sultan Idris Shah', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  (605) 2551032', 'Zip code  30000', 'Country calling code  +60', 'Country  Malaysia']",G Bangunan Sri Kinta Jln Sultan Idris Shah,Ipoh,Perak,(605) 2551032,30000,+60,Malaysia,"G Bangunan Sri Kinta Jln Sultan Idris Shah, Ipoh, Perak"
"['Street:  Bandar Tun Razak, Cheras,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  017-3528669', 'Zip code  56000', 'Country calling code  +60', 'Country  Malaysia']","Bandar Tun Razak, Cheras,",Kuala Lumpur,Wilayah Persekutuan,017-3528669,56000,+60,Malaysia,"Bandar Tun Razak, Cheras,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  155 Jln Keris 1 Taman Sri Tebrau', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07334-9270', 'Zip code  80050', 'Country calling code  +60', 'Country  Malaysia']",155 Jln Keris 1 Taman Sri Tebrau,Johor Bahru,Johor,07334-9270,80050,+60,Malaysia,"155 Jln Keris 1 Taman Sri Tebrau, Johor Bahru, Johor"
"['Street:  47A Lkk Kledang Raya Taman Kledang Jaya', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05528-2957', 'Zip code  30100', 'Country calling code  +60', 'Country  Malaysia']",47A Lkk Kledang Raya Taman Kledang Jaya,Ipoh,Perak,05528-2957,30100,+60,Malaysia,"47A Lkk Kledang Raya Taman Kledang Jaya, Ipoh, Perak"
"['Street:  17 Jln 5/B Kawasan Industri Sungai Chua', 'City:   Kajang', 'State/province/area:    Selangor', 'Phone number  038734-8322', 'Zip code  43000', 'Country calling code  +60', 'Country  Malaysia']",17 Jln 5/B Kawasan Industri Sungai Chua,Kajang,Selangor,038734-8322,43000,+60,Malaysia,"17 Jln 5/B Kawasan Industri Sungai Chua, Kajang, Selangor"
"['Street:  27 Jalan Pengasah 4 Batu 4 Jalan Kepar', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  (603) 32903967', 'Zip code  41400', 'Country calling code  +60', 'Country  Malaysia']",27 Jalan Pengasah 4 Batu 4 Jalan Kepar,Klang,Selangor,(603) 32903967,41400,+60,Malaysia,"27 Jalan Pengasah 4 Batu 4 Jalan Kepar, Klang, Selangor"
"['Street:  2589C Jln Sg Besi Bt 4 1/2', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  037983-7884', 'Zip code  57100', 'Country calling code  +60', 'Country  Malaysia']",2589C Jln Sg Besi Bt 4 1/2,Kuala Lumpur,Wilayah Persekutuan,037983-7884,57100,+60,Malaysia,"2589C Jln Sg Besi Bt 4 1/2, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Lot 1406 Batu 3 Jalan Kim Kee Bukit Treh', 'City:   Muar', 'State/province/area:    Johor', 'Phone number  6069523730', 'Zip code  84000', 'Country calling code  +60', 'Country  Malaysia']",Lot 1406 Batu 3 Jalan Kim Kee Bukit Treh,Muar,Johor,6069523730,84000,+60,Malaysia,"Lot 1406 Batu 3 Jalan Kim Kee Bukit Treh, Muar, Johor"
